right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
-27.474694034957814,0.0,-27.474694148009092,-21.236218571379133,0.0,-21.236218689580234,-15.86681148528378,0.0,-15.866811605242995,-13.320796768906918,0.0,-13.320796887982835,-12.520730767813108,0.0,-12.5207308832985,-13.180056947073236,0.0,-13.180057054532227,-10.220859667203518,0.0,-10.220859771267703,-9.51333793247875,0.0,-9.513338040607527,-8.5900869664963,0.0,-8.590087077124274,-16.34954893479616,0.0,-16.34954903805849,-13.443656957676382,0.0,-13.44365705721114,-12.514218017299978,0.0,-12.514218122683898,-11.749430346405566,0.0,-11.749430455134252,-19.676955925857495,0.0,-19.67695602517763,-17.48076587846056,0.0,-17.48076597485851,-16.514203373858276,0.0,-16.514203476008067,-15.780332222129086,0.0,-15.780332328060751,-23.23622212903305,0.0,-23.236222224831504,-22.22506731177412,0.0,-22.22506740610993,-21.28312769433222,0.0,-21.283127792361086,-20.320890223085996,0.0,-20.320890323749566
-27.47469416277096,0.0,-27.474694087913356,-21.23621870914046,0.0,-21.236218632706837,-15.866811626793867,0.0,-15.866811553075397,-13.320796910290936,0.0,-13.320796840216843,-12.520730904846499,0.0,-12.520730839328664,-13.180057085735772,0.0,-13.180057019140637,-10.22085980642448,0.0,-10.220859745955645,-9.513338071244203,0.0,-9.513338010642505,-8.590087102660684,0.0,-8.590087040056863,-16.349549068060508,0.0,-16.349549003360252,-13.44365709310518,0.0,-13.44365703172404,-12.51421815273544,0.0,-12.514218089494685,-11.749430479336525,0.0,-11.749430413798985,-19.676956053841618,0.0,-19.676955991238252,-17.48076600971186,0.0,-17.48076594837946,-16.514203506133814,0.0,-16.514203443521,-15.78033235230128,0.0,-15.780332287626786,-23.23622225171383,0.0,-23.236222190942502,-22.225067436940417,0.0,-22.225067379315934,-21.28312782117024,0.0,-21.283127765348304,-20.320890349974412,0.0,-20.32089029470591
-27.4746943020556,0.0,-27.47469402481466,-21.236218855295128,0.0,-21.236218566044,-15.866811778830614,0.0,-15.866811486577284,-13.320797066249872,0.0,-13.320796777195303,-12.52073106219533,0.0,-12.520730782681325,-13.18005723594763,0.0,-13.180056973959775,-10.220859961893368,0.0,-10.220859709539758,-9.513338228168307,0.0,-9.513337966710433,-8.590087256035341,0.0,-8.590086988331363,-16.34954921502289,0.0,-16.34954896302836,-13.443657245259182,0.0,-13.443657002693133,-12.514218306775023,0.0,-12.514218050544352,-11.749430630714219,0.0,-11.749430366253337,-19.6769561976619,0.0,-19.67695595516171,-17.480766159107343,0.0,-17.48076592354926,-16.51420365837491,0.0,-16.51420340956462,-15.780332502309937,0.0,-15.780332244374518,-23.23622239187191,0.0,-23.236222157839396,-22.22506758363256,0.0,-22.225067353922157,-21.283127971159274,0.0,-21.283127733825932,-20.320890498750046,0.0,-20.320890255731094
-27.47469406418722,0.0,-27.474694137463537,-21.23621859757229,0.0,-21.236218670307792,-15.86681151473756,0.0,-15.8668115804081,-13.320796803761578,0.0,-13.320796862388905,-12.520730809873093,0.0,-12.52073086156516,-13.180056977585458,0.0,-13.180057037593901,-10.220859704060832,0.0,-10.220859753666224,-9.513337971842192,0.0,-9.513338018670954,-8.590087004308685,0.0,-8.590087053491787,-16.349548967595826,0.0,-16.34954902675367,-13.443656994760072,0.0,-13.443657049702239,-12.51421805689745,0.0,-12.514218111372527,-11.749430385520434,0.0,-11.749430442336976,-19.676955960943257,0.0,-19.67695601863183,-17.480765916988272,0.0,-17.48076597418706,-16.51420341493338,0.0,-16.51420347051331,-15.780332262803007,0.0,-15.78033231989833,-23.236222165737658,0.0,-23.236222222200784,-22.225067354163738,0.0,-22.225067405071712,-21.28312773907713,0.0,-21.283127783394676,-20.320890266146044,0.0,-20.32089030731113
-27.47469367345821,0.0,-27.474694316121845,-21.23621818482988,0.0,-21.236218854080057,-15.866811086734806,0.0,-15.866811760291998,-13.320796367558414,0.0,-13.320797031608866,-12.520730374003175,0.0,-12.520731014448296,-13.180056555584358,0.0,-13.180057159772918,-10.220859270521283,0.0,-10.220859849725318,-9.513337535567596,0.0,-9.513338134126657,-8.590086577497672,0.0,-8.590087190773053,-16.34954855652805,0.0,-16.349549138155762,-13.443656571084034,0.0,-13.443657130274133,-12.514217629228492,0.0,-12.514218218717522,-11.749429965365279,0.0,-11.749430573988592,-19.67695556049296,0.0,-19.676956120463217,-17.480765502288925,0.0,-17.480766046620857,-16.514202993445213,0.0,-16.514203566768135,-15.780331847618601,0.0,-15.780332441791638,-23.236221777022248,0.0,-23.23622231770559,-22.225066949759338,0.0,-22.225067478934374,-21.2831273264424,0.0,-21.283127870383602,-20.32088985603969,0.0,-20.320890411589374
-27.474694071760187,0.0,-27.474694125341486,-21.236218619955043,0.0,-21.23621868371492,-15.866811530907812,0.0,-15.86681161186818,-13.320796805386928,0.0,-13.320796898837056,-12.5207307892854,0.0,-12.520730890226286,-13.180056989009607,0.0,-13.180057059177543,-10.220859698871733,0.0,-10.220859783794166,-9.513337959637331,0.0,-9.513338057280974,-8.590086994509884,0.0,-8.590087091872899,-16.349548969270526,0.0,-16.349549033719857,-13.443656986418294,0.0,-13.443657052690916,-12.514218041829782,0.0,-12.514218119369623,-11.749430370063019,0.0,-11.749430448842022,-19.676955952951324,0.0,-19.67695601336589,-17.480765901974937,0.0,-17.480765958203097,-16.514203393787515,0.0,-16.5142034634086,-15.780332241318783,0.0,-15.780332314599333,-23.236222149850054,0.0,-23.236222206486485,-22.225067324724282,0.0,-22.225067389858236,-21.283127704454277,0.0,-21.283127789261098,-20.32089023606807,0.0,-20.320890331819253
-27.474695077072088,0.0,-27.47469366274655,-21.23621968675993,0.0,-21.23621821661197,-15.866812634779638,0.0,-15.866811160837234,-13.32079792539504,0.0,-13.320796476857256,-12.52073190094119,0.0,-12.520730507544663,-13.18005807587712,0.0,-13.180056752905404,-10.220860809744082,0.0,-10.22085954743923,-9.513339075160959,0.0,-9.5133377740099,-8.590088086558493,0.0,-8.590086752512054,-16.34955002478854,0.0,-16.349548750171802,-13.443658070913155,0.0,-13.44365684692217,-12.514219134301914,0.0,-12.514217846581529,-11.749431443120393,0.0,-11.749430113170524,-19.676956977958362,0.0,-19.67695575025138,-17.48076696118056,0.0,-17.48076576691632,-16.514204468345998,0.0,-16.514203213985017,-15.780333299585275,0.0,-15.780331999987327,-23.23622314207616,0.0,-23.236221956081927,-22.225068352640317,0.0,-22.225067195164495,-21.28312875174296,0.0,-21.283127567995137,-20.320891278401927,0.0,-20.320890072474178
-27.474694528612225,0.0,-27.474693931840395,-21.236219076980596,0.0,-21.236218438681576,-15.86681201734429,0.0,-15.86681133942707,-13.320797327546824,0.0,-13.320796630365898,-12.520731350526608,0.0,-12.520730655260426,-13.18005747665796,0.0,-13.18005687374944,-10.220860229937786,0.0,-10.220859614619064,-9.513338506465635,0.0,-9.513337849682157,-8.590087525670418,0.0,-8.590086858409967,-16.34954946108775,0.0,-16.349548887245426,-13.443657511215548,0.0,-13.443656950395955,-12.51421858338813,0.0,-12.514217975946249,-11.749430903269904,0.0,-11.749430278813302,-19.676956449170397,0.0,-19.676955900153438,-17.48076642782544,0.0,-17.48076589942661,-16.514203938709823,0.0,-16.514203360176847,-15.780332779254799,0.0,-15.780332177297526,-23.236222645978195,0.0,-23.236222119460574,-22.225067863824606,0.0,-22.225067327992345,-21.28312826267448,0.0,-21.28312767412708,-20.320890783166632,0.0,-20.32089016273983
-27.474692102799303,0.0,-27.474695053722833,-21.236216493412357,0.0,-21.2362195547407,-15.866809348574943,0.0,-15.866812404989108,-13.320794629422716,0.0,-13.320797622711781,-12.52072868702792,0.0,-12.520731558060891,-13.180054851937022,0.0,-13.180057597174144,-10.220857558265342,0.0,-10.220860164095752,-9.51333582817617,0.0,-9.513338506594787,-8.590084902338578,0.0,-8.590087650540452,-16.349546918228306,0.0,-16.349549565498858,-13.443654905121775,0.0,-13.443657443949704,-12.514215962478717,0.0,-12.51421862761539,-11.749428329367293,0.0,-11.749431082885122,-19.67695398609914,0.0,-19.67695653719299,-17.48076388698874,0.0,-17.480766370502074,-16.514201364908864,0.0,-16.514203965448957,-15.780330244907216,0.0,-15.78033293836845,-23.236220267004303,0.0,-23.236222732719842,-22.22506540776054,0.0,-22.22506780676866,-21.283125763346103,0.0,-21.283128203119148,-20.320888292800554,0.0,-20.320890771250056
-27.474692506509943,0.0,-27.4746948325938,-21.236216980552022,0.0,-21.236219436456878,-15.866809824022754,0.0,-15.866812366572592,-13.320795051306002,0.0,-13.32079761548678,-12.520729014874473,0.0,-12.52073153352511,-13.180055301650128,0.0,-13.180057571991007,-10.220857948863305,0.0,-10.220860199813922,-9.51333619177599,0.0,-9.513338559645007,-8.590085267085756,0.0,-8.590087681858941,-16.34954731640474,0.0,-16.349549488896503,-13.443655273033556,0.0,-13.443657379899157,-12.514216305812145,0.0,-12.514218559222714,-11.749428663907326,0.0,-11.74943098507074,-19.676954333388796,0.0,-19.676956418087773,-17.480764218211494,0.0,-17.480766234146504,-16.51420167671689,0.0,-16.51420384389157,-15.78033054928994,0.0,-15.780332800035826,-23.236220569815952,0.0,-23.236222575551103,-22.225065668322472,0.0,-22.225067672304387,-21.283126009869378,0.0,-21.283128145104637,-20.320888556093657,0.0,-20.320890775437398
