,0
0,81923056558900.0
1,81923120324100.0
2,81923184013200.0
3,81923264223600.0
4,81923328339000.0
5,81923392357500.0
6,81923456256100.0
7,81923520227500.0
8,81923584984200.0
9,81923664504600.0
10,81923728415200.0
11,81923792422800.0
12,81923856714900.0
13,81923920043700.0
14,81923984242400.0
15,81924048173800.0
16,81924128250300.0
17,81924192117300.0
18,81924256230200.0
19,81924320319600.0
20,81924384132800.0
21,81924448148200.0
22,81924528257500.0
23,81924592104900.0
24,81924656181300.0
25,81924720049200.0
26,81924784396500.0
27,81924848147100.0
28,81924928035100.0
29,81924992254000.0
30,81925056062700.0
31,81925120150400.0
32,81925184465800.0
33,81925248596200.0
34,81925328164800.0
35,81925392073300.0
36,81925456208000.0
37,81925520131200.0
38,81925584150500.0
39,81925648359700.0
40,81925728596800.0
41,81925792231900.0
42,81925856150000.0
43,81925920096500.0
44,81925984591500.0
45,81926048346700.0
46,81926128560600.0
47,81926192122400.0
48,81926255988800.0
49,81926319962000.0
50,81926384134500.0
51,81926448326600.0
52,81926528444600.0
53,81926593094100.0
54,81926656244500.0
55,81926720202300.0
56,81926784525500.0
57,81926848453700.0
58,81926928277900.0
59,81926992182400.0
60,81927057126800.0
61,81927120129100.0
62,81927185000400.0
63,81927248519400.0
64,81927328292000.0
65,81927392350500.0
66,81927456167600.0
67,81927520385100.0
68,81927584728100.0
69,81927648730000.0
70,81927728560700.0
71,81927792351000.0
72,81927856302000.0
73,81927920731100.0
74,81927984071300.0
75,81928048262500.0
76,81928112374700.0
77,81928192195100.0
78,81928256304600.0
79,81928320597500.0
80,81928387532100.0
81,81928449550500.0
82,81928512141800.0
83,81928593120400.0
84,81928657258600.0
85,81928720705900.0
86,81928784471200.0
87,81928848876100.0
88,81928992258300.0
89,81929120283400.0
90,81929248589000.0
91,81929392389100.0
92,81929520202400.0
93,81929648886800.0
94,81929792390700.0
95,81929920335600.0
96,81930047954400.0
97,81930192130800.0
98,81930320051800.0
99,81930448411200.0
100,81930592087300.0
101,81930720171300.0
102,81930848174700.0
103,81930992324100.0
104,81931120090100.0
105,81931248379100.0
106,81931391953200.0
107,81931520291700.0
108,81931648249400.0
109,81931792331200.0
110,81931920267700.0
111,81932048387000.0
112,81932192013300.0
113,81932320639000.0
114,81932448068400.0
115,81932592434300.0
116,81932720156400.0
117,81932848109000.0
118,81932992051300.0
119,81933120507200.0
120,81933247965700.0
121,81933392381200.0
122,81933519944600.0
123,81933648367100.0
124,81933792064000.0
125,81933920224400.0
126,81933984275600.0
127,81934048533200.0
128,81934112131000.0
129,81934192377600.0
130,81934256228400.0
131,81934320709300.0
132,81934384235000.0
133,81934448361900.0
134,81934512237000.0
135,81934592231600.0
136,81934656936900.0
137,81934720250300.0
138,81934784304900.0
139,81934848164100.0
140,81934912306600.0
141,81934992070200.0
142,81935056423500.0
143,81935120431000.0
144,81935184514800.0
145,81935248122400.0
146,81935312109400.0
147,81935392400300.0
148,81935456492500.0
149,81935520123700.0
150,81935584153600.0
151,81935648665900.0
152,81935712069700.0
153,81935792470700.0
154,81935856844300.0
155,81935920349200.0
156,81935984180800.0
157,81936048374600.0
158,81936112419800.0
159,81936192174500.0
160,81936256441700.0
161,81936320526600.0
162,81936384216100.0
163,81936448259000.0
164,81936512275900.0
165,81936592161300.0
166,81936656211200.0
167,81936720118600.0
168,81936784817800.0
169,81936848236500.0
170,81936912643800.0
171,81936992298600.0
172,81937056391600.0
173,81937120233400.0
174,81937184225800.0
175,81937248200500.0
176,81937312742200.0
177,81937376256300.0
178,81937456146300.0
179,81937520494600.0
180,81937584747600.0
181,81937648287000.0
182,81937712597100.0
183,81937776462200.0
184,81937856329900.0
185,81937920298100.0
186,81937984347900.0
187,81938048403700.0
188,81938112308500.0
189,81938176501800.0
190,81938256516700.0
191,81938320143500.0
192,81938384169700.0
193,81938448303000.0
194,81938512378500.0
195,81938576141000.0
196,81938656164500.0
197,81938720301800.0
198,81938784102600.0
199,81938848202200.0
200,81938912114900.0
201,81938976550400.0
202,81939056001400.0
203,81939119995500.0
204,81939184418300.0
205,81939248360000.0
206,81939312478300.0
207,81939376211600.0
208,81939456407200.0
209,81939520225300.0
210,81939584014300.0
211,81939648569100.0
212,81939712441200.0
213,81939776133700.0
214,81939856612600.0
215,81939920345900.0
216,81939984055500.0
217,81940048088700.0
218,81940112182100.0
219,81940176772500.0
220,81940256043600.0
221,81940320607500.0
222,81940384132200.0
223,81940448063900.0
224,81940512167700.0
225,81940576111600.0
226,81940656388200.0
227,81940720136700.0
228,81940784249000.0
229,81940848113400.0
230,81940912234100.0
231,81940976067400.0
232,81941056084500.0
233,81941120202600.0
234,81941184102000.0
235,81941248365400.0
236,81941312438400.0
237,81941376355000.0
238,81941440178100.0
239,81941520151000.0
240,81941585292300.0
241,81941649732900.0
242,81941712064300.0
243,81941775998000.0
244,81941840305300.0
245,81941920223900.0
246,81941984287100.0
247,81942048236100.0
248,81942112472600.0
249,81942239952400.0
250,81942384332000.0
