,0
0,34119692735800.0
1,34119772580300.0
2,34119836705400.0
3,34119901755800.0
4,34119964736400.0
5,34120028358700.0
6,34120094282500.0
7,34120172821200.0
8,34120236915700.0
9,34120301175900.0
10,34120364373300.0
11,34120428796700.0
12,34120491853100.0
13,34120572920300.0
14,34120636925200.0
15,34120701578700.0
16,34120764856000.0
17,34120828179000.0
18,34120893691200.0
19,34120973283600.0
20,34121036321200.0
21,34121100483700.0
22,34121163673300.0
23,34121228266200.0
24,34121293239600.0
25,34121373033200.0
26,34121437085100.0
27,34121500757800.0
28,34121564955100.0
29,34121628081700.0
30,34121692898500.0
31,34121773009600.0
32,34121836143200.0
33,34121900111400.0
34,34121964142300.0
35,34122028717300.0
36,34122093147200.0
37,34122172573900.0
38,34122237014100.0
39,34122300801800.0
40,34122365033300.0
41,34122429493900.0
42,34122492537800.0
43,34122556889900.0
44,34122636631300.0
45,34122700284800.0
46,34122764526000.0
47,34122827852500.0
48,34122893318000.0
49,34122956623900.0
50,34123036495700.0
51,34123101564900.0
52,34123164095300.0
53,34123228495500.0
54,34123292816200.0
55,34123357004000.0
56,34123437231400.0
57,34123500986600.0
58,34123565003900.0
59,34123629464100.0
60,34123692696400.0
61,34123756612200.0
62,34123837247000.0
63,34123901381700.0
64,34123964519000.0
65,34124029867400.0
66,34124092544000.0
67,34124157442900.0
68,34124236393400.0
69,34124301099300.0
70,34124364891700.0
71,34124428499300.0
72,34124555819600.0
73,34124700172400.0
74,34124828683900.0
75,34124957526100.0
76,34125100468500.0
77,34125229202200.0
78,34125356901000.0
79,34125501636300.0
80,34125628609700.0
81,34125757009700.0
82,34125901343400.0
83,34126028752700.0
84,34126156383800.0
85,34126300889300.0
86,34126428716500.0
87,34126556023800.0
88,34126699886300.0
89,34126829418900.0
90,34126956481900.0
91,34127101079000.0
92,34127229141500.0
93,34127356690500.0
94,34127500619400.0
95,34127629376900.0
96,34127755982500.0
97,34127909292800.0
98,34128028095000.0
99,34128157092500.0
100,34128300972500.0
101,34128428922700.0
102,34128557194600.0
103,34128700666000.0
104,34128828013700.0
105,34128957790500.0
106,34129101711900.0
107,34129228992300.0
108,34129357679500.0
109,34129501824100.0
110,34129628655000.0
111,34129756128400.0
112,34129900786800.0
113,34130029595300.0
114,34130156113700.0
115,34130300806300.0
116,34130428691400.0
117,34130557095100.0
118,34130700927000.0
119,34130828664800.0
120,34130957919500.0
121,34131101765200.0
122,34131228963800.0
123,34131356778000.0
124,34131500523600.0
125,34131628959300.0
126,34131756536000.0
127,34131901303700.0
128,34132028999400.0
129,34132157056900.0
130,34132301563100.0
131,34132430078200.0
132,34132556049900.0
133,34132701680400.0
134,34132828239100.0
135,34132956405200.0
136,34133101071700.0
137,34133228583300.0
138,34133356843900.0
139,34133501361600.0
140,34133629373500.0
141,34133756240400.0
142,34133901533400.0
143,34134028427900.0
144,34134156663400.0
145,34134300018500.0
146,34134429256700.0
147,34134557136400.0
148,34134700165900.0
149,34134828321200.0
150,34134955621600.0
151,34135100323300.0
152,34135164344300.0
153,34135228766000.0
154,34135292178200.0
155,34135356834500.0
156,34135437368800.0
157,34135500013400.0
158,34135564869700.0
159,34135628789100.0
160,34135693518500.0
161,34135756440800.0
162,34135838094400.0
163,34135902563900.0
164,34135963849700.0
165,34136028734600.0
166,34136092988800.0
167,34136155974000.0
168,34136236381000.0
169,34136300958200.0
170,34136363913700.0
171,34136429346400.0
172,34136492831900.0
173,34136556995300.0
174,34136637009300.0
175,34136700272200.0
176,34136764613900.0
177,34136828195800.0
178,34136891987700.0
179,34136956585600.0
180,34137020846200.0
181,34137100627300.0
182,34137164665200.0
183,34137227700100.0
184,34137292681800.0
185,34137356441600.0
186,34137420539700.0
187,34137500530200.0
188,34137563906500.0
189,34137628442700.0
190,34137692753300.0
191,34137756221000.0
192,34137820488200.0
193,34137900621900.0
194,34137964161500.0
195,34138028304500.0
196,34138093921700.0
197,34138157469700.0
198,34138220567400.0
199,34138300049200.0
200,34138364146500.0
201,34138428347900.0
202,34138492587300.0
203,34138556594700.0
204,34138620648300.0
205,34138700749400.0
206,34138763669800.0
207,34138828118400.0
208,34138892685800.0
209,34138956993800.0
210,34139021750700.0
211,34139100095100.0
212,34139163835900.0
213,34139228585700.0
214,34139293645400.0
215,34139356874600.0
216,34139420905000.0
217,34139499960400.0
218,34139565399400.0
219,34139628643000.0
220,34139692807300.0
221,34139756287200.0
222,34139820675200.0
223,34139901406600.0
224,34139964326200.0
225,34140028412600.0
226,34140092272300.0
227,34140157493100.0
228,34140220286200.0
229,34140301121200.0
230,34140364879900.0
231,34140428953300.0
232,34140493196800.0
233,34140556766400.0
234,34140621923800.0
235,34140701935700.0
236,34140764807400.0
237,34140829435600.0
238,34140893079100.0
239,34140956989700.0
240,34141020656200.0
241,34141100606100.0
242,34141164773400.0
243,34141229018800.0
244,34141291960100.0
245,34141356981500.0
246,34141421467200.0
247,34141485611700.0
248,34141564394200.0
249,34141628847200.0
250,34141692514000.0
251,34141756227200.0
252,34141820149100.0
253,34141884140200.0
254,34141965239000.0
255,34142028924300.0
256,34142092270100.0
257,34142157258400.0
258,34142221358900.0
259,34142284690100.0
260,34142364594700.0
261,34142428783800.0
262,34142492300000.0
263,34142555772800.0
264,34142620392500.0
265,34142684449900.0
266,34142764868900.0
267,34142828699800.0
268,34142892413800.0
269,34142956732500.0
270,34143020739500.0
271,34143084716100.0
272,34143164102900.0
273,34143227855000.0
274,34143292741400.0
275,34143356862700.0
276,34143421420900.0
277,34143484272400.0
278,34143565490400.0
279,34143629335200.0
280,34143692774200.0
281,34143756629500.0
282,34143821146200.0
283,34143884309200.0
284,34143964225200.0
285,34144028989500.0
286,34144092203600.0
287,34144156103800.0
288,34144220598600.0
289,34144284717500.0
290,34144364787300.0
291,34144429418700.0
292,34144493477800.0
293,34144556016300.0
294,34144620506300.0
295,34144686479100.0
296,34144764174600.0
297,34144828763500.0
298,34144893087800.0
299,34144955814600.0
300,34145019828400.0
301,34145085043100.0
302,34145165438000.0
303,34145227954900.0
304,34145292969400.0
305,34145356558100.0
306,34145420206300.0
307,34145483727300.0
308,34145548398100.0
309,34145629418400.0
310,34145692629300.0
311,34145756305300.0
312,34145820714700.0
313,34145885091800.0
314,34145948313900.0
315,34146027509100.0
316,34146092572700.0
317,34146156079500.0
318,34146220733800.0
319,34146284407000.0
320,34146347691400.0
321,34146428609400.0
322,34146492409500.0
323,34146556900400.0
324,34146621315200.0
325,34146684882600.0
326,34146748832100.0
327,34146828180700.0
328,34146892746800.0
329,34146956292600.0
330,34147020579200.0
331,34147084278900.0
332,34147148512700.0
333,34147228649700.0
334,34147293494700.0
335,34147355964900.0
336,34147421111800.0
337,34147485100100.0
338,34147547960500.0
339,34147629518100.0
340,34147692803200.0
341,34147756096400.0
342,34147821188600.0
343,34147884975800.0
344,34147949260800.0
345,34148028394500.0
346,34148092517300.0
347,34148155767100.0
348,34148220546500.0
349,34148285403100.0
350,34148347618700.0
351,34148427918300.0
352,34148492792500.0
353,34148556302600.0
354,34148621101700.0
355,34148684952400.0
356,34148748611700.0
357,34148829457100.0
358,34148893503100.0
359,34148956713300.0
360,34149020309500.0
361,34149084504300.0
362,34149147737000.0
363,34149228893900.0
364,34149293406000.0
365,34149357043400.0
366,34149421265600.0
367,34149485482100.0
368,34149548148400.0
369,34149612215500.0
370,34149692024600.0
371,34149756664100.0
372,34149821011200.0
373,34149885151400.0
374,34149949290000.0
375,34150012409900.0
376,34150092771800.0
377,34150156427800.0
378,34150219802200.0
379,34150284706100.0
380,34150348364400.0
381,34150413078500.0
382,34150491506300.0
383,34150555837400.0
384,34150620757000.0
385,34150684869600.0
386,34150748401500.0
387,34150812596100.0
388,34150893168700.0
389,34150957247500.0
390,34151021224700.0
391,34151085371000.0
392,34151148728100.0
393,34151212425000.0
394,34151291559300.0
395,34151356503100.0
396,34151420517100.0
397,34151484825400.0
398,34151548436300.0
399,34151613451600.0
400,34151692015000.0
401,34151756757300.0
402,34151821523100.0
403,34151884312400.0
404,34151948217100.0
405,34152012906000.0
406,34152092398600.0
407,34152156221000.0
408,34152220535700.0
409,34152284696800.0
410,34152349186900.0
411,34152412621500.0
412,34152492861600.0
413,34152555784500.0
414,34152621238900.0
415,34152684306900.0
416,34152748910400.0
417,34152812713200.0
418,34152892766600.0
419,34152956780900.0
420,34153020640400.0
421,34153085067700.0
422,34153147819000.0
423,34153213121600.0
424,34153292840300.0
425,34153357979700.0
426,34153420085500.0
427,34153484961100.0
428,34153548175900.0
429,34153611704700.0
430,34153677472900.0
431,34153755952800.0
432,34153821072300.0
433,34153884255200.0
434,34153947900300.0
435,34154012411800.0
436,34154075641900.0
437,34154156358200.0
438,34154220426500.0
439,34154285275200.0
440,34154349050400.0
441,34154413347000.0
442,34154476993500.0
443,34154556627000.0
444,34154620409400.0
445,34154685210300.0
446,34154748636900.0
447,34154812466100.0
448,34154876765400.0
449,34154956553500.0
450,34155020752900.0
451,34155085411600.0
452,34155148950100.0
453,34155212312100.0
454,34155275923000.0
455,34155356471800.0
456,34155420601600.0
457,34155485560000.0
458,34155547884900.0
459,34155611778300.0
460,34155676205400.0
461,34155756604400.0
462,34155819933800.0
463,34155884029900.0
464,34155947957700.0
465,34156011679100.0
466,34156075628700.0
467,34156156089900.0
468,34156220666000.0
469,34156283780200.0
470,34156347728600.0
471,34156412966300.0
472,34156475643200.0
473,34156556142400.0
474,34156620416900.0
475,34156684365400.0
476,34156748425300.0
477,34156812202300.0
478,34156876893300.0
479,34156956419500.0
480,34157020110600.0
481,34157085140200.0
482,34157148245800.0
483,34157212697300.0
484,34157275720400.0
485,34157356635200.0
