,0
0,89481810694300.0
1,89481874473200.0
2,89481938650700.0
3,89482002358000.0
4,89482082407800.0
5,89482146503300.0
6,89482210405300.0
7,89482274447200.0
8,89482338382300.0
9,89482402508000.0
10,89482482369900.0
11,89482546490900.0
12,89482610422100.0
13,89482674687200.0
14,89482738680700.0
15,89482802712300.0
16,89482882433800.0
17,89482946539000.0
18,89483010409200.0
19,89483074314600.0
20,89483139054900.0
21,89483202523000.0
22,89483282211800.0
23,89483346735900.0
24,89483410823500.0
25,89483474364900.0
26,89483538268000.0
27,89483602805500.0
28,89483682347600.0
29,89483746415800.0
30,89483811318000.0
31,89483874420100.0
32,89484003364100.0
33,89484147098800.0
34,89484274462200.0
35,89484402404400.0
36,89484546326000.0
37,89484674582300.0
38,89484802998100.0
39,89484946845500.0
40,89485074268700.0
41,89485202914900.0
42,89485346405800.0
43,89485474359000.0
44,89485602250100.0
45,89485746291600.0
46,89485874540100.0
47,89486002316500.0
48,89486146255800.0
49,89486274961900.0
50,89486402564600.0
51,89486546731900.0
52,89486674348300.0
53,89486802445700.0
54,89486947129800.0
55,89487074400500.0
56,89487202234500.0
57,89487347249800.0
58,89487474609300.0
59,89487602393400.0
60,89487746155900.0
61,89487811068000.0
62,89487874595300.0
63,89487938437200.0
64,89488002535300.0
65,89488082351100.0
66,89488146331600.0
67,89488210907600.0
68,89488274471800.0
69,89488338437600.0
70,89488402342000.0
71,89488482816300.0
72,89488546739500.0
73,89488610252300.0
74,89488674381200.0
75,89488738939300.0
76,89488803087500.0
77,89488866981000.0
78,89488946432100.0
79,89489010520900.0
80,89489074555300.0
81,89489138911800.0
82,89489202408600.0
83,89489266363200.0
84,89489346284800.0
85,89489410949100.0
86,89489474615200.0
87,89489538318800.0
88,89489602268100.0
89,89489666434000.0
90,89489746589200.0
91,89489810451400.0
92,89489874923000.0
93,89489938356900.0
94,89490002526200.0
95,89490066886400.0
96,89490147241700.0
97,89490211372600.0
98,89490274448500.0
99,89490338370700.0
100,89490402313900.0
101,89490466925100.0
102,89490546461500.0
103,89490610587200.0
104,89490674374000.0
105,89490738386800.0
106,89490802298400.0
107,89490866501900.0
108,89490947005900.0
109,89491010323500.0
110,89491074311900.0
111,89491138363100.0
112,89491203147800.0
113,89491266167800.0
114,89491346314000.0
115,89491411467500.0
116,89491474494800.0
117,89491538423400.0
118,89491602234200.0
119,89491666849400.0
120,89491746634800.0
121,89491810291600.0
122,89491874474500.0
123,89491939016900.0
124,89492002429900.0
125,89492066335200.0
126,89492146529800.0
127,89492210288400.0
128,89492274276100.0
129,89492338259800.0
130,89492402370700.0
131,89492466862600.0
132,89492546335600.0
133,89492610849500.0
134,89492674339400.0
135,89492738241600.0
136,89492802454900.0
137,89492866769400.0
138,89492930563400.0
139,89493010226700.0
140,89493074335800.0
141,89493138335600.0
142,89493202695800.0
143,89493266382700.0
144,89493330582800.0
145,89493410281300.0
146,89493474818600.0
147,89493538287700.0
148,89493602385000.0
149,89493667015500.0
150,89493730530200.0
151,89493811261000.0
152,89493874843500.0
153,89493938871200.0
154,89494003232300.0
155,89494066481100.0
156,89494130368600.0
157,89494210327300.0
158,89494275070200.0
159,89494338233000.0
160,89494402800500.0
161,89494466856600.0
162,89494530758200.0
163,89494610364000.0
164,89494674472000.0
165,89494738633500.0
166,89494802556900.0
167,89494866635000.0
168,89494930759300.0
169,89495010633800.0
170,89495074919800.0
171,89495138362300.0
172,89495202342100.0
173,89495266420200.0
174,89495330648400.0
175,89495410265700.0
176,89495474351800.0
177,89495538344800.0
178,89495602716700.0
179,89495666349200.0
180,89495731045400.0
181,89495811044500.0
182,89495874565800.0
183,89495938482000.0
184,89496002354800.0
185,89496066244400.0
186,89496130328800.0
187,89496210592500.0
188,89496274479900.0
189,89496338641900.0
190,89496402278500.0
191,89496466845000.0
192,89496530338600.0
193,89496610364000.0
194,89496675030100.0
195,89496738521000.0
196,89496802757800.0
197,89496866714500.0
198,89496931413600.0
199,89496994236700.0
200,89497074333000.0
201,89497138594600.0
202,89497202395500.0
203,89497266430300.0
204,89497330244800.0
205,89497394428900.0
206,89497474324000.0
207,89497538330500.0
208,89497602750400.0
209,89497666539000.0
210,89497730355400.0
211,89497794366700.0
212,89497874448500.0
213,89497938559600.0
214,89498002370700.0
215,89498066638000.0
216,89498130618800.0
217,89498194372800.0
218,89498274317900.0
219,89498338627600.0
220,89498402534300.0
221,89498466399100.0
222,89498530863200.0
223,89498594878300.0
224,89498674871600.0
225,89498738264200.0
226,89498802923000.0
227,89498866397600.0
228,89498930588300.0
229,89498994538300.0
230,89499074414500.0
231,89499138798600.0
232,89499202728100.0
233,89499266890000.0
234,89499330406200.0
235,89499394243700.0
236,89499474569700.0
237,89499538704400.0
238,89499602302000.0
239,89499666760200.0
240,89499730917400.0
241,89499794366800.0
242,89499874236300.0
243,89499938462200.0
244,89500002641400.0
245,89500067207800.0
246,89500130453800.0
247,89500194801300.0
248,89500274468800.0
249,89500338246300.0
250,89500402363400.0
251,89500466397600.0
252,89500531038600.0
253,89500594621400.0
254,89500674842700.0
255,89500738566600.0
256,89500802388400.0
257,89500866823000.0
258,89500930577600.0
259,89500995173300.0
260,89501059114300.0
261,89501138301600.0
262,89501202480200.0
263,89501266293900.0
264,89501331371200.0
265,89501394286300.0
266,89501458577900.0
267,89501538525400.0
268,89501666366600.0
269,89501794528500.0
270,89501938837200.0
271,89502066732400.0
272,89502194583700.0
273,89502338905900.0
274,89502466982600.0
275,89502595156200.0
276,89502738332200.0
277,89502867073800.0
278,89502994266700.0
279,89503138301900.0
280,89503266161700.0
281,89503394307000.0
282,89503538252900.0
283,89503666364900.0
284,89503795184100.0
285,89503938653200.0
286,89504066550300.0
287,89504194349900.0
288,89504338728000.0
289,89504466403500.0
290,89504594908400.0
291,89504738390900.0
292,89504866267400.0
293,89504994881700.0
294,89505138284400.0
295,89505266305500.0
296,89505394325600.0
297,89505539022800.0
298,89505666925900.0
299,89505794702000.0
300,89505938773000.0
